Username,Name,Id,Email,Faculty,Major,AdvisorID
b661021,กัลยาณี ศิริศักดิ์,661021,kanyanee.s@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S011
b661022,ปราณี มณีวรรณ,661022,pranee.m@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S011
b661023,อาทิตย์ แสงจันทร์,661023,artit.s@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S011
b661024,ธนพร หอมหวล,661024,thanaporn.h@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S011
b661025,พัชรินทร์ แก้วมณี,661025,patcharin.k@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S011
b661026,รัชนี ศรีสวัสดิ์,661026,rachanee.s@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S014
b661027,ก้องภพ รัตนวิชัย,661027,kongpop.r@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S014
b661028,พีรดนย์ จันทร์เพ็ญ,661028,peeradon.c@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S014
b661029,ศศิธร วัฒนานนท์,661029,sasithorn.w@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S014
b661030,ณัฐพล สิงห์ทอง,661030,nattapon.s@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S014
b661016,สุภาภรณ์ มีนา,661016,supaporn.m@ku.th,คณะวิทยาศาสตร์,เคมี,S012
b661017,นภดล เจริญธรรม,661017,napadol.j@ku.th,คณะวิทยาศาสตร์,เคมี,S012
b661018,อนุชิต อินทรักษ์,661018,anuchit.i@ku.th,คณะวิทยาศาสตร์,เคมี,S012
b661019,พิชญา เกตุแก้ว,661019,pitchaya.k@ku.th,คณะวิทยาศาสตร์,เคมี,S012
b661020,ณัฐวุฒิ สุขสมบูรณ์,661020,nattawut.s@ku.th,คณะวิทยาศาสตร์,เคมี,S012
b661031,นิติพร ทวีทรัพย์,661031,nitiporn.t@ku.th,คณะวิทยาศาสตร์,สถิติ,S013
b661032,ภัทรพงศ์ รัตนพงศ์,661032,pattarapong.r@ku.th,คณะวิทยาศาสตร์,สถิติ,S013
b661033,สุภัคชัย ตรีนาค,661033,supakchai.t@ku.th,คณะวิทยาศาสตร์,สถิติ,S013
b661034,กนกวรรณ นวลจันทร์,661034,kanokwan.n@ku.th,คณะวิทยาศาสตร์,สถิติ,S013
b661035,พิชญ์สินี วงศ์รักษ์,661035,pitchsinee.w@ku.th,คณะวิทยาศาสตร์,สถิติ,S013
ิb661036,อัมรินทร์ ทรงเกียรติ,661036,amarin.t@ku.th,คณะบริหารธุรกิจ,การเงิน,B051
b661037,สุรีย์รัตน์ ศิริศักดิ์,661037,sureerat.s@ku.th,คณะบริหารธุรกิจ,การเงิน,B051
b661038,จารุวรรณ แสนสุข,661038,jaruwan.s@ku.th,,คณะบริหารธุรกิจ,การเงิน
b661039,สิทธิชัย พิพัฒน์สวัสดิ์,661039,sittichai.p@ku.th,คณะบริหารธุรกิจ,การเงิน,B051
b661040,อรณิชา รัตนสุข,661040,orranicha.r@ku.th,คณะบริหารธุรกิจ,การเงิน,B051
b661041,พัฒนชัย เจริญกิจ,661041,pattanachai.j@ku.th,คณะบริหารธุรกิจ,การจัดการ,B052
b661042,สุทธินันท์ เพ็ญสุวรรณ,661042,sutthinan.p@ku.th,คณะบริหารธุรกิจ,การจัดการ,B052
b661043,ปวีณา อัศวิน,661043,paweena.a@ku.th,คณะบริหารธุรกิจ,การจัดการ,B052
b661044,พิมพ์นารา โกศล,661044,pimnara.k@ku.th,คณะบริหารธุรกิจ,การจัดการ,B052
b661045,กิตติวัฒน์ เพ็งสลับ,661045,kittiwat.p@ku.th,คณะบริหารธุรกิจ,การจัดการ,B052
b661046,พิรุณ อมรเวช,661046,pirun.a@ku.th,คณะบริหารธุรกิจ,การตลาด,B053
b661047,วีรภัทร ธีรศักดิ์,661047,weeraphat.t@ku.th,คณะบริหารธุรกิจ,การตลาด,B053
b661048,จารุณี ทองดี,661048,jarunee.t@ku.th,คณะบริหารธุรกิจ,การตลาด,B053
b661049,จิรวัฒน์ อินทวงษ์,661049,jirawat.i@ku.th,คณะบริหารธุรกิจ,การตลาด,B053
b6610450,รัตนาวดี สุทธิรักษ์,6610450,rattanawadee.s@ku.th,คณะบริหารธุรกิจ,การตลาด,B053
b661001,กิตติพงศ์ วงศ์ใหญ่,661001,kittipong.w@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,E3044
