Name,Id,Email,Faculty,Major,AdvisorID
กัลยาณี ศิริศักดิ์,661021,kanyanee.s@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S011
ปราณี มณีวรรณ,661022,pranee.m@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S011
อาทิตย์ แสงจันทร์,661023,artit.s@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S011
ธนพร หอมหวล,661024,thanaporn.h@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S011
พัชรินทร์ แก้วมณี,661025,patcharin.k@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S011
รัชนี ศรีสวัสดิ์,661026,rachanee.s@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S014
ก้องภพ รัตนวิชัย,661027,kongpop.r@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S014
พีรดนย์ จันทร์เพ็ญ,661028,peeradon.c@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S014
ศศิธร วัฒนานนท์,661029,sasithorn.w@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S014
ณัฐพล สิงห์ทอง,661030,nattapon.s@ku.th,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,S014
สุภาภรณ์ มีนา,661016,supaporn.m@ku.th,คณะวิทยาศาสตร์,เคมี,S012
นภดล เจริญธรรม,661017,napadol.j@ku.th,คณะวิทยาศาสตร์,เคมี,S012
อนุชิต อินทรักษ์,661018,anuchit.i@ku.th,คณะวิทยาศาสตร์,เคมี,S012
พิชญา เกตุแก้ว,661019,pitchaya.k@ku.th,คณะวิทยาศาสตร์,เคมี,S012
ณัฐวุฒิ สุขสมบูรณ์,661020,nattawut.s@ku.th,คณะวิทยาศาสตร์,เคมี,S012
นิติพร ทวีทรัพย์,661031,nitiporn.t@ku.th,คณะวิทยาศาสตร์,สถิติ,S013
ภัทรพงศ์ รัตนพงศ์,661032,pattarapong.r@ku.th,คณะวิทยาศาสตร์,สถิติ,S013
สุภัคชัย ตรีนาค,661033,supakchai.t@ku.th,คณะวิทยาศาสตร์,สถิติ,S013
กนกวรรณ นวลจันทร์,661034,kanokwan.n@ku.th,คณะวิทยาศาสตร์,สถิติ,S013
พิชญ์สินี วงศ์รักษ์,661035,pitchsinee.w@ku.th,คณะวิทยาศาสตร์,สถิติ,S013
อัมรินทร์ ทรงเกียรติ,661036,amarin.t@ku.th,คณะบริหารธุรกิจ,การเงิน,B051
สุรีย์รัตน์ ศิริศักดิ์,661037,sureerat.s@ku.th,คณะบริหารธุรกิจ,การเงิน,B051
จารุวรรณ แสนสุข,661038,jaruwan.s@ku.th,,คณะบริหารธุรกิจ,การเงิน
สิทธิชัย พิพัฒน์สวัสดิ์,661039,sittichai.p@ku.th,คณะบริหารธุรกิจ,การเงิน,B051
อรณิชา รัตนสุข,661040,orranicha.r@ku.th,คณะบริหารธุรกิจ,การเงิน,B051
พัฒนชัย เจริญกิจ,661041,pattanachai.j@ku.th,คณะบริหารธุรกิจ,การจัดการ,B052
สุทธินันท์ เพ็ญสุวรรณ,661042,sutthinan.p@ku.th,คณะบริหารธุรกิจ,การจัดการ,B052
ปวีณา อัศวิน,661043,paweena.a@ku.th,คณะบริหารธุรกิจ,การจัดการ,B052
พิมพ์นารา โกศล,661044,pimnara.k@ku.th,คณะบริหารธุรกิจ,การจัดการ,B052
กิตติวัฒน์ เพ็งสลับ,661045,kittiwat.p@ku.th,คณะบริหารธุรกิจ,การจัดการ,B052
พิรุณ อมรเวช,661046,pirun.a@ku.th,คณะบริหารธุรกิจ,การตลาด,B053
วีรภัทร ธีรศักดิ์,661047,weeraphat.t@ku.th,คณะบริหารธุรกิจ,การตลาด,B053
จารุณี ทองดี,661048,jarunee.t@ku.th,คณะบริหารธุรกิจ,การตลาด,B053
จิรวัฒน์ อินทวงษ์,661049,jirawat.i@ku.th,คณะบริหารธุรกิจ,การตลาด,B053
รัตนาวดี สุทธิรักษ์,6610450,rattanawadee.s@ku.th,คณะบริหารธุรกิจ,การตลาด,B053
กิตติพงศ์ วงศ์ใหญ่,661001,kittipong.w@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,E3044
ศิรินภา ทองมี,661002,sirinapa.t@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,E3044
อภิชัย ศรีสุวรรณ,661003,apichai.s@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,E3044
ปรียาภรณ์ อินทร์แก้ว,661004,preeyaporn.i@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,E3044
นภัสสร ชาญไกร,661005,napatsorn.c@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,E3044
พงษ์พัฒน์ ชูชาติ,661006,pongpat.c@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,E3045
ชนัญญู จันทร์สมบัติ,661007,chananyou.j@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,E3045
รัตนาวดี พูนสวัสดิ์,661008,rattanawadee.p@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,E3045
จิราภา บุญจันทร์,661009,jirapa.b@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,E3045
สุทธิรักษ์ ตรีทิพย์,661010,sutthirak.t@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,E3045
นรินทร์พล กุลวงษ์,661011,narinpol.k@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,E3046
วรัญญู เจนใจ,661012,waranyu.j@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,E3046
ธนกฤต ภูมิพัฒน์,661013,thanakrit.p@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,E3046
ปรัชญา สุนทรชัย,661014,prachaya.s@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,E3046
รัชนีกร ไชยชนะ,661015,rachaneekorn.c@ku.th,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,E3046

